Q2center,Q2low,Q2High,xsec,stat,sys,model,residual
0.0188,0.0125,0.025,3.06,1.82,0.47,1.9311001352485104,1.1288998647514896
0.0313,0.025,0.0375,0.779,0.73,0.22,1.8598127689386887,-1.0808127689386886
0.0438,0.0375,0.05,0.596,0.547,0.196,1.7907334427747226,-1.1947334427747225
0.075,0.05,0.1,1.25,0.353,0.195,1.6289676880211006,-0.3789676880211006
0.125,0.1,0.15,1.13,0.179,0.153,1.3960276304917407,-0.26602763049174083
0.175,0.15,0.2,0.962,0.114,0.124,1.199170495445507,-0.23717049544550695
0.25,0.2,0.3,0.979,0.0834,0.107,0.9611547069507872,0.017845293049212785
0.35,0.3,0.4,0.821,0.0765,0.0673,0.7176495441102188,0.1033504558897812
0.5,0.4,0.6,0.49,0.0525,0.0579,0.4765037574492392,0.013496242550760817
0.7,0.6,0.8,0.296,0.0455,0.0418,0.2815319504292465,0.014468049570753483
0.9,0.8,1.0,0.206,0.0387,0.0343,0.17252407850808682,0.03347592149191317
1.1,1.0,1.2,0.138,0.0297,0.0243,0.10923271679179383,0.02876728320820618
1.6,1.2,2.0,0.0561,0.0133,0.00835,0.043538729456104576,0.012561270543895421
3.0,2.0,4.0,0.0112,0.00525,0.00213,0.005415257408504414,0.005784742591495586
5.0,4.0,6.0,0.00587,0.004,0.002,0.00022937593308331277,0.005640624066916688
